community_id,node_label,preferredName,queryItem,stringId
1,RAD50,RAD50,RAD50,4932.YNL250W
1,RAD53,RAD53,RAD53,4932.YPL153C
1,RAD55,RAD55,RAD55,4932.YDR076W
1,RAD57,RAD57,RAD57,4932.YDR004W
1,RAD6,RAD6,RAD6,4932.YGL058W
1,RAD7,RAD7,RAD7,4932.YJR052W
1,REC102,REC102,REC102,4932.YLR329W
1,REC104,REC104,REC104,4932.YHR157W
1,REC8,REC8,REC8,4932.YPR007C
1,RED1,RED1,RED1,4932.YLR263W
1,RET1,RET1,RET1,4932.YOR207C
1,RET2,RET2,RET2,4932.YFR051C
1,RET3,RET3,RET3,4932.YPL010W
1,REV1,REV1,REV1,4932.YOR346W
1,REV3,REV3,REV3,4932.YPL167C
1,REV7,REV7,REV7,4932.YIL139C
1,RFA1,RFA1,RFA1,4932.YAR007C
1,RFA2,RFA2,RFA2,4932.YNL312W
1,RFA3,RFA3,RFA3,4932.YJL173C
1,RFC1,RFC1,RFC1,4932.YOR217W
1,RFC2,RFC2,RFC2,4932.YJR068W
1,RFC3,RFC3,RFC3,4932.YNL290W
1,RFC4,RFC4,RFC4,4932.YOL094C
1,RFC5,RFC5,RFC5,4932.YBR087W
1,RGR1,RGR1,RGR1,4932.YLR071C
1,RHO1,RHO1,RHO1,4932.YPR165W
1,RLF2,RLF2,RLF2,4932.YPR018W
1,RMI1,RMI1,RMI1,4932.YPL024W
1,RNH201,RNH201,RNH201,4932.YNL072W
1,RNH202,RNH202,RNH202,4932.YDR279W
1,RNH203,RNH203,RNH203,4932.YLR154C
1,ROX3,ROX3,ROX3,4932.YBL093C
1,RPA12,RPA12,RPA12,4932.YJR063W
1,RPA135,RPA135,RPA135,4932.YPR010C
1,RPA14,RPA14,RPA14,4932.YDR156W
1,RPA190,RPA190,RPA190,4932.YOR341W
1,RPA34,RPA34,RPA34,4932.YJL148W
1,RPA43,RPA43,RPA43,4932.YOR340C
1,RPA49,RPA49,RPA49,4932.YNL248C
1,RPB10,RPB10,RPB10,4932.YOR210W
1,RPB11,RPB11,RPB11,4932.YOL005C
1,RPB2,RPB2,RPB2,4932.YOR151C
1,RPB3,RPB3,RPB3,4932.YIL021W
1,RPB4,RPB4,RPB4,4932.YJL140W
1,RPB5,RPB5,RPB5,4932.YBR154C
1,RPB7,RPB7,RPB7,4932.YDR404C
1,RPB8,RPB8,RPB8,4932.YOR224C
1,RPB9,RPB9,RPB9,4932.YGL070C
1,RPC10,RPC10,RPC10,4932.YHR143W-A
1,RPC11,RPC11,RPC11,4932.YDR045C
1,RPC17,RPC17,RPC17,4932.YJL011C
1,RPC19,RPC19,RPC19,4932.YNL113W
1,RPC25,RPC25,RPC25,4932.YKL144C
1,RPC31,RPC31,RPC31,4932.YNL151C
1,RPC34,RPC34,RPC34,4932.YNR003C
1,RPC37,RPC37,RPC37,4932.YKR025W
1,RPC40,RPC40,RPC40,4932.YPR110C
1,RPC53,RPC53,RPC53,4932.YDL150W
1,RPC82,RPC82,RPC82,4932.YPR190C
1,RPD3,RPD3,RPD3,4932.YNL330C
1,RPO21,RPO21,RPO21,4932.YDL140C
1,RPO26,RPO26,RPO26,4932.YPR187W
1,RPO31,RPO31,RPO31,4932.YOR116C
1,RRD1,RRD1,RRD1,4932.YIL153W
