node_label,queryItem,stringId,preferredName
MDM12,MDM12,4932.YOL009C,MDM12
MDM20,MDM20,4932.YOL076W,MDM20
MEC3,MEC3,4932.YLR288C,MEC3
MED1,MED1,4932.YPR070W,MED1
MED11,MED11,4932.YMR112C,MED11
MED2,MED2,4932.YDL005C,MED2
MED4,MED4,4932.YOR174W,MED4
MED6,MED6,4932.YHR058C,MED6
MED7,MED7,4932.YOL135C,MED7
MED8,MED8,4932.YBR193C,MED8
MEH1,MEH1,4932.YKR007W,MEH1
MEI5,MEI5,4932.YPL121C,MEI5
MES1,MES1,4932.YGR264C,MES1
MET28,MET28,4932.YIR017C,MET28
MET31,MET31,4932.YPL038W,MET31
MET32,MET32,4932.YDR253C,MET32
MET4,MET4,4932.YNL103W,MET4
MEX67,MEX67,4932.YPL169C,MEX67
MFT1,MFT1,4932.YML062C,MFT1
MGE1,MGE1,4932.YOR232W,MGE1
MGM1,MGM1,4932.YOR211C,MGM1
MGR1,MGR1,4932.YCL044C,MGR1
MKS1,MKS1,4932.YNL076W,MKS1
MKT1,MKT1,4932.YNL085W,MKT1
MLH1,MLH1,4932.YMR167W,MLH1
MLH2,MLH2,4932.YLR035C,MLH2
MLH3,MLH3,4932.YPL164C,MLH3
MMM1,MMM1,4932.YLL006W,MMM1
MMS2,MMS2,4932.YGL087C,MMS2
MMS21,MMS21,4932.YEL019C,MMS21
MMS4,MMS4,4932.YBR098W,MMS4
MND1,MND1,4932.YGL183C,MND1
MND2,MND2,4932.YIR025W,MND2
MNN10,MNN10,4932.YDR245W,MNN10
MNN11,MNN11,4932.YJL183W,MNN11
MNN9,MNN9,4932.YPL050C,MNN9
MNP1,MNP1,4932.YGL068W,MNP1
MOB1,MOB1,4932.YIL106W,MOB1
MOB2,MOB2,4932.YFL034C-B,MOB2
MON1,MON1,4932.YGL124C,MON1
MOT1,MOT1,4932.YPL082C,MOT1
MOT2,MOT2,4932.YER068W,MOT2
MPE1,MPE1,4932.YKL059C,MPE1
MPS2,MPS2,4932.YGL075C,MPS2
MRC1,MRC1,4932.YCL061C,MRC1
MRE11,MRE11,4932.YMR224C,MRE11
MRP1,MRP1,4932.YDR347W,MRP1
MRP10,MRP10,4932.YDL045W-A,MRP10
MRP13,MRP13,4932.YGR084C,MRP13
MRP17,MRP17,4932.YKL003C,MRP17
MRP2,MRP2,4932.YPR166C,MRP2
MRP20,MRP20,4932.YDR405W,MRP20
MRP21,MRP21,4932.YBL090W,MRP21
MRP4,MRP4,4932.YHL004W,MRP4
MRP49,MRP49,4932.YKL167C,MRP49
MRP51,MRP51,4932.YPL118W,MRP51
MRP7,MRP7,4932.YNL005C,MRP7
MRPL1,MRPL1,4932.YDR116C,MRPL1
MRPL10,MRPL10,4932.YNL284C,MRPL10
MRPL11,MRPL11,4932.YDL202W,MRPL11
MRPL13,MRPL13,4932.YKR006C,MRPL13
MRPL15,MRPL15,4932.YLR312W-A,MRPL15
MRPL16,MRPL16,4932.YBL038W,MRPL16
MRPL17,MRPL17,4932.YNL252C,MRPL17
MRPL19,MRPL19,4932.YNL185C,MRPL19
MRPL20,MRPL20,4932.YKR085C,MRPL20
MRPL22,MRPL22,4932.YNL177C,MRPL22
MRPL23,MRPL23,4932.YOR150W,MRPL23
MRPL24,MRPL24,4932.YMR193W,MRPL24
MRPL25,MRPL25,4932.YGR076C,MRPL25
MRPL27,MRPL27,4932.YBR282W,MRPL27
MRPL28,MRPL28,4932.YDR462W,MRPL28
MRPL3,MRPL3,4932.YMR024W,MRPL3
MRPL31,MRPL31,4932.YKL138C,MRPL31
MRPL32,MRPL32,4932.YCR003W,MRPL32
MRPL33,MRPL33,4932.YMR286W,MRPL33
MRPL35,MRPL35,4932.YDR322W,MRPL35
MRPL36,MRPL36,4932.YBR122C,MRPL36
MRPL37,MRPL37,4932.YBR268W,MRPL37
MRPL38,MRPL38,4932.YKL170W,MRPL38
MRPL39,MRPL39,4932.YML009C,MRPL39
MRPL4,MRPL4,4932.YLR439W,MRPL4
MRPL40,MRPL40,4932.YPL173W,MRPL40
MRPL44,MRPL44,4932.YMR225C,MRPL44
MRPL49,MRPL49,4932.YJL096W,MRPL49
MRPL50,MRPL50,4932.YNR022C,MRPL50
MRPL51,MRPL51,4932.YPR100W,MRPL51
MRPL6,MRPL6,4932.YHR147C,MRPL6
MRPL7,MRPL7,4932.YDR237W,MRPL7
MRPL8,MRPL8,4932.YJL063C,MRPL8
MRPL9,MRPL9,4932.YGR220C,MRPL9
MRPS16,MRPS16,4932.YPL013C,MRPS16
MRPS17,MRPS17,4932.YMR188C,MRPS17
MRPS18,MRPS18,4932.YNL306W,MRPS18
MRPS28,MRPS28,4932.YDR337W,MRPS28
MRPS35,MRPS35,4932.YGR165W,MRPS35
MRPS5,MRPS5,4932.YBR251W,MRPS5
