node_label,queryItem,stringId,preferredName
AURKA,AURKA,9606.ENSP00000216911,AURKA
AURKB,AURKB,9606.ENSP00000313950,AURKB
AUTS2,AUTS2,9606.ENSP00000344087,AUTS2
AVEN,Aven,9606.ENSP00000306822,AVEN
AVPR1A,AVPR1A,9606.ENSP00000299178,AVPR1A
AVPR1B,AVPR1B,9606.ENSP00000356094,AVPR1B
AVPR2,AVPR2,9606.ENSP00000496396,AVPR2
AXIN1,AXIN1,9606.ENSP00000262320,AXIN1
AXIN2,Axin2,9606.ENSP00000302625,AXIN2
AXL,AXL,9606.ENSP00000301178,AXL
AZGP1,AZGP1,9606.ENSP00000292401,AZGP1
AZI2,AZI2,9606.ENSP00000419371,AZI2
AZIN1,AZIN1,9606.ENSP00000337180,AZIN1
AZIN2,AZIN2,9606.ENSP00000362540,AZIN2
B2M,B2M,9606.ENSP00000497910,B2M
B9D1,B9d1,9606.ENSP00000261499,B9D1
B9D2,B9d2,9606.ENSP00000243578,B9D2
BABAM1,BABAM1,9606.ENSP00000352408,BABAM1
BABAM2,BABAM2,9606.ENSP00000343412,BABAM2
BACE1,Bace1,9606.ENSP00000318585,BACE1
BACH1,BACH1,9606.ENSP00000382805,BACH1
BAD,Bad,9606.ENSP00000378040,BAD
BAG1,BAG1,9606.ENSP00000489189,BAG1
BAG2,BAG2,9606.ENSP00000359727,BAG2
BAG3,BAG3,9606.ENSP00000358081,BAG3
BAG5,BAG5,9606.ENSP00000338814,BAG5
BAG6,BAG6,9606.ENSP00000365131,BAG6
BAIAP2,Baiap2,9606.ENSP00000316338,BAIAP2
BAK1,Bak1,9606.ENSP00000363591,BAK1
BANF1,BANF1,9606.ENSP00000433760,BANF1
BANF2,BANF2,9606.ENSP00000439128,BANF2
BANP,BANP,9606.ENSP00000376902,BANP
BAP1,BAP1,9606.ENSP00000417132,BAP1
BARD1,BARD1,9606.ENSP00000260947,BARD1
BAX,Bax,9606.ENSP00000293288,BAX
BAZ1A,BAZ1A,9606.ENSP00000371859,BAZ1A
BAZ1B,Baz1b,9606.ENSP00000342434,BAZ1B
BAZ2A,Baz2a,9606.ENSP00000446880,BAZ2A
BBC3,Bbc3,9606.ENSP00000404503,BBC3
BBIP1,BBIP1,9606.ENSP00000433157,BBIP1
BBS1,BBS1,9606.ENSP00000317469,BBS1
BBS10,BBS10,9606.ENSP00000497413,BBS10
BBS12,BBS12,9606.ENSP00000438273,BBS12
BBS2,BBS2,9606.ENSP00000245157,BBS2
BBS4,BBS4,9606.ENSP00000268057,BBS4
BBS5,BBS5,9606.ENSP00000295240,BBS5
BBS7,BBS7,9606.ENSP00000264499,BBS7
BBS9,BBS9,9606.ENSP00000242067,BBS9
BCAR1,Bcar1,9606.ENSP00000391669,BCAR1
BCAS2,BCAS2,9606.ENSP00000358554,BCAS2
BCCIP,BCCIP,9606.ENSP00000357748,BCCIP
BCHE,Bche,9606.ENSP00000264381,BCHE
BCKDHA,Bckdha,9606.ENSP00000269980,BCKDHA
BCKDHB,Bckdhb,9606.ENSP00000318351,BCKDHB
BCL10,Bcl10,9606.ENSP00000498104,BCL10
BCL2,Bcl2,9606.ENSP00000381185,BCL2
BCL2L1,Bcl2l1,9606.ENSP00000365230,BCL2L1
BCL2L11,Bcl2l11,9606.ENSP00000376943,BCL2L11
