queryItem,stringId,ncbiTaxonId,preferredName,resolvedQuery,mappingSource,mappingPriority,node_label
DSL1,4932.YNL258C,4932,DSL1,DSL1,direct_string,1,DSL1
DSN1,4932.YIR010W,4932,DSN1,DSN1,direct_string,1,DSN1
DSS1,4932.YMR287C,4932,DSS1,DSS1,direct_string,1,DSS1
DUG1,4932.YFR044C,4932,DUG1,DUG1,direct_string,1,DUG1
DUG2,4932.YBR281C,4932,DUG2,DUG2,direct_string,1,DUG2
DUG3,4932.YNL191W,4932,DUG3,DUG3,direct_string,1,DUG3
DUO1,4932.YGL061C,4932,DUO1,DUO1,direct_string,1,DUO1
DYN1,4932.YKR054C,4932,DYN1,DYN1,direct_string,1,DYN1
DYN2,4932.YDR424C,4932,DYN2,DYN2,direct_string,1,DYN2
DYN3,4932.YMR299C,4932,DYN3,DYN3,direct_string,1,DYN3
EAF1,4932.YDR359C,4932,EAF1,EAF1,direct_string,1,EAF1
EAF3,4932.YPR023C,4932,EAF3,EAF3,direct_string,1,EAF3
EAF5,4932.YEL018W,4932,EAF5,EAF5,direct_string,1,EAF5
EAF6,4932.YJR082C,4932,EAF6,EAF6,direct_string,1,EAF6
EAF7,4932.YNL136W,4932,EAF7,EAF7,direct_string,1,EAF7
ECM29,4932.YHL030W,4932,ECM29,ECM29,direct_string,1,ECM29
EFB1,4932.YAL003W,4932,EFB1,EFB1,direct_string,1,EFB1
EGD1,4932.YPL037C,4932,EGD1,EGD1,direct_string,1,EGD1
EGD2,4932.YHR193C,4932,EGD2,EGD2,direct_string,1,EGD2
ELA1,4932.YNL230C,4932,ELA1,ELA1,direct_string,1,ELA1
ELC1,4932.YPL046C,4932,ELC1,ELC1,direct_string,1,ELC1
ELG1,4932.YOR144C,4932,ELG1,ELG1,direct_string,1,ELG1
ELP2,4932.YGR200C,4932,ELP2,ELP2,direct_string,1,ELP2
ELP3,4932.YPL086C,4932,ELP3,ELP3,direct_string,1,ELP3
ELP4,4932.YPL101W,4932,ELP4,ELP4,direct_string,1,ELP4
ELP6,4932.YMR312W,4932,ELP6,ELP6,direct_string,1,ELP6
EMP24,4932.YGL200C,4932,EMP24,EMP24,direct_string,1,EMP24
END3,4932.YNL084C,4932,END3,END3,direct_string,1,END3
EPL1,4932.YFL024C,4932,EPL1,EPL1,direct_string,1,EPL1
ERF2,4932.YLR246W,4932,ERF2,ERF2,direct_string,1,ERF2
ERI1,4932.YPL096C-A,4932,ERI1,ERI1,direct_string,1,ERI1
ERP1,4932.YAR002C-A,4932,ERP1,ERP1,direct_string,1,ERP1
ERP2,4932.YAL007C,4932,ERP2,ERP2,direct_string,1,ERP2
ERV25,4932.YML012W,4932,ERV25,ERV25,direct_string,1,ERV25
ERV41,4932.YML067C,4932,ERV41,ERV41,direct_string,1,ERV41
ERV46,4932.YAL042W,4932,ERV46,ERV46,direct_string,1,ERV46
ESA1,4932.YOR244W,4932,ESA1,ESA1,direct_string,1,ESA1
ESP1,4932.YGR098C,4932,ESP1,ESP1,direct_string,1,ESP1
EST1,4932.YLR233C,4932,EST1,EST1,direct_string,1,EST1
EST2,4932.YLR318W,4932,EST2,EST2,direct_string,1,EST2
EST3,4932.YIL009C-A,4932,EST3,EST3,direct_string,1,EST3
EXO70,4932.YJL085W,4932,EXO70,EXO70,direct_string,1,EXO70
EXO84,4932.YBR102C,4932,EXO84,EXO84,direct_string,1,EXO84
FAA1,4932.YOR317W,4932,FAA1,FAA1,direct_string,1,FAA1
FAA4,4932.YMR246W,4932,FAA4,FAA4,direct_string,1,FAA4
FAR1,4932.YJL157C,4932,FAR1,FAR1,direct_string,1,FAR1
FAR10,4932.YLR238W,4932,FAR10,FAR10,direct_string,1,FAR10
FAR11,4932.YNL127W,4932,FAR11,FAR11,direct_string,1,FAR11
FAR3,4932.YMR052W,4932,FAR3,FAR3,direct_string,1,FAR3
FAR7,4932.YFR008W,4932,FAR7,FAR7,direct_string,1,FAR7
FAR8,4932.YMR029C,4932,FAR8,FAR8,direct_string,1,FAR8
FAS1,4932.YKL182W,4932,FAS1,FAS1,direct_string,1,FAS1
FAS2,4932.YPL231W,4932,FAS2,FAS2,direct_string,1,FAS2
FAT1,4932.YBR041W,4932,FAT1,FAT1,direct_string,1,FAT1
FET3,4932.YMR058W,4932,FET3,FET3,direct_string,1,FET3
FET5,4932.YFL041W,4932,FET5,FET5,direct_string,1,FET5
FIG4,4932.YNL325C,4932,FIG4,FIG4,direct_string,1,FIG4
FIP1,4932.YJR093C,4932,FIP1,FIP1,direct_string,1,FIP1
FKS1,4932.YLR342W,4932,FKS1,FKS1,direct_string,1,FKS1
FRS1,4932.YLR060W,4932,FRS1,FRS1,direct_string,1,FRS1
FRS2,4932.YFL022C,4932,FRS2,FRS2,direct_string,1,FRS2
FTH1,4932.YBR207W,4932,FTH1,FTH1,direct_string,1,FTH1
FTR1,4932.YER145C,4932,FTR1,FTR1,direct_string,1,FTR1
FUS3,4932.YBL016W,4932,FUS3,FUS3,direct_string,1,FUS3
FYV10,4932.YIL097W,4932,FYV10,FYV10,direct_string,1,FYV10
FZO1,4932.YBR179C,4932,FZO1,FZO1,direct_string,1,FZO1
GAA1,4932.YLR088W,4932,GAA1,GAA1,direct_string,1,GAA1
GAB1,4932.YLR459W,4932,GAB1,GAB1,direct_string,1,GAB1
GAC1,4932.YOR178C,4932,GAC1,GAC1,direct_string,1,GAC1
GAL11,4932.YOL051W,4932,GAL11,GAL11,direct_string,1,GAL11
